cust_id_,fname,lname,custSt_,cpstl_cd_2024,customerZcity_,ccountryXcode,cust_email
70376,Joseph,Rose,3620 Burton Spring Apt. 319,68551,Jacksonport,JP,nicholastorres@example.net
22623,Sharon,Hooper,2383 Jackson Flat,36883,West Gabriel,US,wattsjacob@example.org
80784,Julie,Phillips,8156 Jeremy Walks Suite 707,44440,Victoriaborough,IN,uvelazquez@example.net
42370,Susan,Espinoza,66012 Bonnie Valley Apt. 509,61989,Armstrongshire,GB,david98@example.net
71313,Alexander,Mccullough,7998 Fitzgerald Parks Apt. 079,2701,South Feliciachester,CA,hedwards@example.org
87861,Lauren,Trujillo,027 Wood Heights Apt. 238,49502,Amyville,AU,pwatson@example.com
19915,Jared,Butler,5918 Novak Locks Apt. 553,96376,South Rogerfurt,GB,kirkalvarez@example.org
28381,Ashley,Cooper,0600 Marissa Point Suite 971,1676,Nathanborough,GB,thomasevans@example.com
45668,Gregg,Mcdaniel,454 Rachel Street Apt. 104,87486,Watersbury,US,jodi33@example.org
78521,Troy,Holt,28449 Cynthia Radial Suite 873,63483,Michaeltown,JP,matthewsmith@example.net
36367,Jeffrey,Sexton,39692 Shaun Squares,23394,South Whitneyfort,CA,rhodesrobin@example.net
59030,Lance,Hayes,77408 Stephanie Forks,52159,New Saraport,JP,erika46@example.com
75501,Dylan,Phillips,456 Amy Mission,66447,Browntown,FR,ecarlson@example.org
51052,Jeremy,Gomez,72075 Erin Junctions,50964,Jamesfurt,IN,allenwesley@example.com
78972,Meredith,Ferguson,58840 Walker Port,11766,East Daniel,US,kimberly39@example.com
95789,Mrs.,Heidi,10447 Susan Circles Suite 261,30853,Charlesburgh,JP,hardymicheal@example.net
30383,Marie,Wallace,60706 Brown Passage Apt. 496,45496,Thomasport,FR,alimark@example.org
68147,Fernando,Russell,370 Shaw Harbors,73840,Hoganton,IN,yward@example.org
88247,Marvin,Matthews,57175 Holland Vista,91147,Spenceview,CA,wrosales@example.com
98126,Todd,Brown,553 Brett Shoals,32072,Tiffanyburgh,US,salinaskimberly@example.com
86766,April,Lewis,59649 Crystal Pike Apt. 595,56480,North Tiffanystad,DE,ashleedixon@example.org
45766,Erin,Barnes,6910 David Streets,35062,New Justinbury,AU,tcooper@example.org
14275,Brian,Chavez,005 Nelson Glen Suite 623,9503,Lake Lori,JP,xlara@example.org
10692,Peter,Ramsey,3521 Katrina Valley Apt. 114,57525,South Melissa,DE,fwhite@example.net
95512,Kristen,Jones,40268 Cathy Viaduct Apt. 576,98415,Mckinneyland,GB,gregory70@example.org
78829,Robert,Thompson,16568 Grant Ranch,49755,Jonesland,IN,garyroberts@example.net
54164,Angela,Stevens,23702 Charles Plaza Apt. 309,32375,New Timothyburgh,AU,vnguyen@example.com
85627,Zachary,Callahan,542 Green Parkway,53118,Michealhaven,JP,vsanchez@example.com
90901,Heather,Norton,38214 James Radial,95495,South Charlesview,CA,milleramber@example.net
18743,Alvin,Christian,7977 Stephanie Squares,16922,East Scott,GB,wstanley@example.com
89463,Jeffrey,Carpenter,31032 William Common,33097,Bowersmouth,US,millerpaul@example.net
95517,Joel,Stone,444 Brown Highway Apt. 279,34487,South Mercedeshaven,FR,glewis@example.org
15261,Joseph,Jones,3453 Deborah Key Suite 953,2939,Sanfordshire,CA,michele31@example.org
54164,George,Edwards,0548 Timothy Mews,46509,Nicholastown,IN,kjohnson@example.com
87861,Heidi,Cowan,353 John Divide Apt. 670,56939,Lake Kennethborough,FR,michelle12@example.org
27007,Michael,Brown,674 Caitlin Village,75883,West Robert,IN,salazarjulian@example.org
18743,Erika,Swanson,521 Lee Stravenue Apt. 354,93701,Brownfort,JP,uhughes@example.com
71101,Christopher,Blair,9548 Porter Forks Suite 169,45648,Samuelfurt,AU,anne59@example.org
15261,Lindsey,Mendoza,8081 Martin Fort Suite 796,12364,Catherinefurt,GB,smithjesse@example.com
78837,Alex,Elliott,913 Harris Cliff Suite 028,75423,Savagechester,US,kramirez@example.com
65692,Brooke,Martinez,410 Adams Drive Apt. 761,17269,West James,JP,hendersonsarah@example.net
77592,Isaiah,Dennis,87849 Gregory Landing Suite 023,30696,Tinamouth,DE,ufleming@example.net
54164,Dennis,Alvarado,4751 Cruz Wall,79308,New Beth,JP,zbrown@example.org
76362,Heather,Taylor,033 Amanda Wall Suite 137,15030,Port Justinstad,IN,david11@example.net
59593,Kristen,Jones,29392 Alicia Prairie Suite 329,19045,Chrishaven,JP,sallymadden@example.com
90901,Charles,Richard,47962 Larson Summit Apt. 973,9641,North Yolanda,IN,nicole29@example.org
13514,Michelle,Savage,57445 Thompson Square,63271,New Calvin,US,jesse78@example.org
33469,Megan,King,1535 Sanchez Loaf Suite 699,79440,Larsenville,FR,laurastanley@example.net
35960,Glenn,Hood,22931 Stephanie Cliff Apt. 015,95443,South Jessicaport,DE,derekaguilar@example.org
55466,Bryan,Christensen,2013 Williams Curve Suite 714,34417,East Michelle,CA,davidvega@example.com
84769,Kelly,Castillo,61342 Baker Manor,8679,Port Brent,JP,gloria12@example.org
13514,Benjamin,Cobb,4534 Vaughn Divide,24831,Port Philipborough,FR,garyholmes@example.com
97622,Olivia,Alvarez,501 Wagner Groves,21600,South Jennifer,GB,williamsbenjamin@example.net
66851,Jose,Kelly,360 Ray Plaza,18460,New Samanthamouth,IN,roberthouston@example.com
94693,Bryan,Wilson,2411 Jimenez Locks Suite 834,47859,Kristenmouth,JP,eatonjason@example.net
58673,Gina,Maldonado,32088 Scott Via Apt. 718,58932,Carlchester,US,andreaaustin@example.com
93389,Jessica,Harris,444 Wilkerson Ways,42010,Carrollside,CA,hannahgonzalez@example.com
36012,Jennifer,Montgomery,48541 Velez Fort Suite 408,88152,Owensburgh,DE,shannonkane@example.org
21299,Jacqueline,Levine,475 Barron Grove Apt. 599,34171,Lake Sharon,FR,jthomas@example.org
