driver,driver_id,first_name,last_name,birth_date,license_id,license_expiry,hire_date,termination_date,email_address
John Brian,B1-iucwqdo6oaam,John,Brian,1986-03-14,NY859914,2015-02-01,2011-06-01,2020-04-01,john.brian@swiftshipments.com
John Justin,B1-uqap0thbm8kq,John,Justin,1980-04-22,AU066737,2018-06-16,2018-10-01,1900-01-01,john.justin@swiftshipments.com
David Alexander,B1-es7kj5egs4m4,David,Alexander,1975-01-12,KX488847,2018-08-06,2000-05-01,1900-01-01,david.alexander@swiftshipments.com
Luke Christopher,A1-nlprebisxlor,Luke,Christopher,1967-02-17,EF752412,2019-09-04,2019-07-01,2018-06-01,luke.christopher@swiftshipments.com
Stephen Daniel,C1-s5vbp4t0ks9n,Stephen,Daniel,1991-01-15,XX413008,2017-08-19,1985-08-01,2008-10-01,stephen.daniel@swiftshipments.com
Scott Kimberly,B1-bszoikzohcj5,Scott,Kimberly,1974-03-10,NW178546,2022-03-18,2022-06-01,2018-12-01,scott.kimberly@swiftshipments.com
Emilio Ronald,C1-tsvhxparqaho,Emilio,Ronald,1981-12-10,BE119083,2017-05-07,2022-11-01,1900-01-01,emilio.ronald@swiftshipments.com
Charles Daniel,C1-fkbonrztz7b1,Charles,Daniel,1990-06-27,GM166929,2021-03-15,2018-04-01,2008-01-01,charles.daniel@swiftshipments.com
Sharon Betty,C1-2yl8ahkq4qpw,Sharon,Betty,1981-07-26,VV238622,2016-06-19,2008-04-01,1900-01-01,sharon.betty@swiftshipments.com
Brandon Kenneth,B1-20jeqeraigaz,Brandon,Kenneth,1971-12-14,ZD732733,2019-03-03,1994-08-01,1900-01-01,brandon.kenneth@swiftshipments.com
Stephen Ryan,C1-oqxuza9mumoy,Stephen,Ryan,1971-10-02,OT792822,2019-09-17,2015-02-01,1900-01-01,stephen.ryan@swiftshipments.com
Janet Robert,A1-7vnnhyrnfjgk,Janet,Robert,1984-02-24,XG656967,2014-09-01,1996-12-01,1993-07-01,janet.robert@swiftshipments.com
